2015-04-27 06:55:06 install libpcre3:amd64 <none> 1:8.31-2ubuntu2
2015-04-27 06:55:06 status half-installed libpcre3:amd64 1:8.31-2ubuntu2
2015-04-27 06:55:06 status unpacked libpcre3:amd64 1:8.31-2ubuntu2
2015-04-27 06:55:07 status unpacked libpcre3:amd64 1:8.31-2ubuntu2
2015-04-27 06:55:07 install libplymouth2:amd64 <none> 0.8.8-0ubuntu17
2015-04-27 06:55:07 status half-installed libplymouth2:amd64 0.8.8-0ubuntu17
2015-04-27 06:55:07 status unpacked libplymouth2:amd64 0.8.8-0ubuntu17
2015-04-27 06:55:07 status unpacked libplymouth2:amd64 0.8.8-0ubuntu17
2015-04-27 06:55:07 install libpng12-0:amd64 <none> 1.2.50-1ubuntu2
2015-04-27 06:55:07 status half-installed libpng12-0:amd64 1.2.50-1ubuntu2
2015-04-27 06:55:07 status unpacked libpng12-0:amd64 1.2.50-1ubuntu2
2015-04-27 06:55:07 status unpacked libpng12-0:amd64 1.2.50-1ubuntu2
2015-04-27 06:55:07 install libprocps3:amd64 <none> 1:3.3.9-1ubuntu2
2015-04-27 06:55:07 status half-installed libprocps3:amd64 1:3.3.9-1ubuntu2
2015-04-27 06:55:08 status unpacked libprocps3:amd64 1:3.3.9-1ubuntu2
2015-04-27 06:55:08 status unpacked libprocps3:amd64 1:3.3.9-1ubuntu2
2015-04-27 06:55:08 install libselinux1:amd64 <none> 2.2.2-1
2015-04-27 06:55:08 status half-installed libselinux1:amd64 2.2.2-1
2015-04-27 06:55:08 status unpacked libselinux1:amd64 2.2.2-1
2015-04-27 06:55:08 status unpacked libselinux1:amd64 2.2.2-1
2015-04-27 06:55:08 install libsemanage-common:all <none> 2.2-1
2015-04-27 06:55:08 status half-installed libsemanage-common:all 2.2-1
2015-04-27 06:55:08 status unpacked libsemanage-common:all 2.2-1
2015-04-27 06:55:08 status unpacked libsemanage-common:all 2.2-1
2015-04-27 06:55:08 install libsemanage1:amd64 <none> 2.2-1
2015-04-27 06:55:08 status half-installed libsemanage1:amd64 2.2-1
2015-04-27 06:55:08 status unpacked libsemanage1:amd64 2.2-1
